@relation AT2018_2019_2020_NBD_caso1_predicted

@attribute dia {miercoles,jueves,viernes,sabado,domingo,lunes,martes}
@attribute hora {h13,h20,h18,h21,h19,h02,h17,h12,h03,h16,h01,h08,h05,h14,h23,h07,h10,h15,h00,h11,h09,h22,h06,h04}
@attribute tipologia {atropello,'choque lateral perpendicular',estrellamiento,'choque frontal longitudinal','choque lateral angular','roce negativo',colision,'choque por alcance','roce positivo','perdida de carril','choque frontal excentrico','caida de pasajero','perdida de pista',atipico,encunetamiento,arrollamiento,rozamiento,'volcamiento lateral','volcamiento longitudinal',volcamiento,'choque frontal'}
@attribute parroquia_urbana {punzara,sucre,'san sebastian',carigan,'el sagrario','el valle'}
@attribute 'prediction margin' numeric
@attribute 'predicted causas' {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute causas {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute nro_heridos {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_fallecidos {0fa,1fa}

@data
miercoles,h12,'choque lateral angular',punzara,-0.117647,'no ceder el derecho de via','conducir en exceso de velocidad',1h,0fa
jueves,h20,'perdida de carril',sucre,-0.550562,'conducir en exceso de velocidad','conducir en estado de embriaguez',2h,0fa
viernes,h06,'choque frontal excentrico',carigan,-0.16129,'conducir en estado de embriaguez','imprudencia del conductor',0h,0fa
lunes,h21,estrellamiento,punzara,-0.122881,'conducir en exceso de velocidad','conducir en estado de embriaguez',0h,0fa
jueves,h11,estrellamiento,'san sebastian',-0.305085,'conducir en exceso de velocidad','imprudencia del conductor',0h,0fa
jueves,h13,'choque lateral perpendicular','el valle',-1,'no ceder el derecho de via','imprudencia del conductor',1h,0fa
viernes,h02,estrellamiento,'el valle',0.122881,'conducir en exceso de velocidad','conducir en exceso de velocidad',0h,0fa
domingo,h11,'choque lateral perpendicular','el sagrario',-0.1,'no respetar las senales de transito','imprudencia del conductor',0h,0fa
viernes,h14,estrellamiento,sucre,-0.305085,'conducir en exceso de velocidad','imprudencia del conductor',0h,0fa
miercoles,h08,'choque lateral angular','el sagrario',0.142857,'imprudencia del conductor','imprudencia del conductor',2h,0fa
martes,h15,'perdida de pista','san sebastian',-1,'conducir en estado de embriaguez','fallas mecanicas no previsibles',1h,0fa
martes,h21,'choque lateral angular','el sagrario',-0.4,'imprudencia del conductor','conducir en exceso de velocidad',1h,0fa
viernes,h01,estrellamiento,sucre,-0.122881,'conducir en exceso de velocidad','conducir en estado de embriaguez',0h,0fa
jueves,h20,estrellamiento,carigan,-0.122881,'conducir en exceso de velocidad','conducir en estado de embriaguez',0h,0fa
sabado,h12,'choque lateral angular','el valle',-0.058824,'no ceder el derecho de via','imprudencia del conductor',1h,0fa
sabado,h13,atipico,carigan,0.8,'imprudencia del conductor','imprudencia del conductor',0h,0fa
sabado,h15,'choque por alcance',sucre,-0.358209,'no mantener la distancia reglamentaria','imprudencia del conductor',1h,0fa
lunes,h10,'choque lateral perpendicular','el sagrario',0.071429,'imprudencia del conductor','imprudencia del conductor',0h,0fa
lunes,h07,'choque lateral perpendicular',sucre,-0.333333,'no ceder el derecho de via','conducir en exceso de velocidad',0h,0fa
martes,h08,'choque por alcance',sucre,-0.358209,'no mantener la distancia reglamentaria','imprudencia del conductor',1h,0fa
