dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
jueves_viernes,h00_h05,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h18_h23,estrellamiento,carigan,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h06_h11,estrellamiento,punzara,imprudencia del conductor,1h,0fa
sabado_domingo,h18_h23,choque,punzara,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h12_h17,atropello,san sebastian,imprudencia del conductor,1h,0fa
lunes_martes_miercoles,h18_h23,choque,punzara,imprudencia del conductor,1h,0fa
jueves_viernes,h00_h05,estrellamiento,carigan,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h12_h17,estrellamiento,sucre,conducir en exceso de velocidad,6h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,punzara,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h12_h17,estrellamiento,carigan,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h18_h23,colision,carigan,imprudencia del conductor,2h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,el sagrario,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h18_h23,perdida de carril_pista,punzara,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h12_h17,estrellamiento,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h18_h23,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,estrellamiento,punzara,conducir en exceso de velocidad,0h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,san sebastian,conducir en estado de embriaguez,1h,0fa
jueves_viernes,h12_h17,choque,el valle,imprudencia del conductor,1h,0fa
jueves_viernes,h00_h05,estrellamiento,sucre,imprudencia del conductor,0h,0fa
jueves_viernes,h06_h11,choque,punzara,imprudencia del conductor,3h,0fa
jueves_viernes,h00_h05,choque,san sebastian,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h06_h11,choque,sucre,imprudencia del conductor,0h,1fa
sabado_domingo,h06_h11,choque,el sagrario,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h12_h17,atropello,san sebastian,imprudencia del peaton,1h,0fa
sabado_domingo,h06_h11,choque,el sagrario,imprudencia del conductor,0h,1fa
