dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
sabado,h09,atropello,el sagrario,imprudencia del peaton,1,0
sabado,h14,choque lateral perpendicular,el valle,conducir en estado de embriaguez,0,0
sabado,h10,choque lateral angular,el valle,no ceder el derecho de via,0,0
lunes,h07,choque lateral angular,punzara,no ceder el derecho de via,0,0
miercoles,h00,perdida de carril,el sagrario,conducir en exceso de velocidad,0,0
miercoles,h09,choque lateral perpendicular,punzara,conducir en exceso de velocidad,0,0
sabado,h01,estrellamiento,sucre,conducir en exceso de velocidad,0,0
sabado,h02,estrellamiento,sucre,conducir en estado de embriaguez,0,0
sabado,h15,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0,0
domingo,h01,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,0,0
domingo,h04,choque lateral angular,el sagrario,conducir en estado de embriaguez,1,0
lunes,h07,colision,san sebastian,imprudencia del conductor,1,0
lunes,h14,atropello,san sebastian,imprudencia del peaton,1,0
lunes,h17,choque lateral angular,punzara,imprudencia del conductor,0,0
martes,h13,choque lateral angular,el valle,imprudencia del conductor,1,0
viernes,h07,choque lateral angular,el sagrario,no ceder el derecho de via,0,0
domingo,h02,perdida de carril,punzara,conducir en exceso de velocidad,0,0
domingo,h03,perdida de carril,sucre,conducir en exceso de velocidad,0,1
sabado,h16,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0,0
domingo,h19,choque frontal excentrico,punzara,invadir carril de circulacion,1,0
martes,h20,choque lateral angular,sucre,razones desconocidas,1,0
miercoles,h04,estrellamiento,el valle,conducir en estado de embriaguez,2,0
jueves,h18,perdida de carril,san sebastian,conducir en estado de embriaguez,2,0
viernes,h18,choque lateral angular,el sagrario,conducir en estado de embriaguez,0,0
sabado,h03,perdida de carril,sucre,conducir en exceso de velocidad,0,0
sabado,h15,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0,0
domingo,h14,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0,0
domingo,h19,choque por alcance,sucre,conducir en estado de embriaguez,0,0
lunes,h08,choque lateral perpendicular,el sagrario,cambio brusco e indebido de carril,0,0
martes,h05,choque lateral perpendicular,sucre,no ceder el derecho de via,1,0
miercoles,h05,estrellamiento,punzara,conducir en exceso de velocidad,1,0
jueves,h15,choque lateral angular,el sagrario,cambio brusco e indebido de carril,1,0
viernes,h14,choque lateral angular,sucre,conducir en estado de embriaguez,1,0
sabado,h03,estrellamiento,el sagrario,conducir en exceso de velocidad,0,0
domingo,h02,atipico,carigan,imprudencia del conductor,0,0
domingo,h04,estrellamiento,punzara,conducir en estado de embriaguez,4,1
domingo,h12,choque frontal excentrico,sucre,invadir carril de circulacion,4,0
sabado,h02,choque lateral perpendicular,san sebastian,no ceder el derecho de via,1,0
lunes,h15,estrellamiento,el valle,conducir en exceso de velocidad,0,0
lunes,h23,choque lateral perpendicular,sucre,no respetar las senales de transito,0,0
lunes,h23,perdida de carril,punzara,conducir en exceso de velocidad,0,0
miercoles,h01,estrellamiento,sucre,conducir en exceso de velocidad,0,0
miercoles,h05,perdida de carril,punzara,conducir en exceso de velocidad,0,1
miercoles,h06,choque lateral angular,sucre,cambio brusco e indebido de carril,0,0
miercoles,h08,roce negativo,punzara,imprudencia del conductor,0,0
jueves,h08,choque por alcance,punzara,no mantener la distancia reglamentaria,0,0
jueves,h19,choque lateral angular,el valle,conducir en estado de embriaguez,1,0
domingo,h02,choque lateral perpendicular,el sagrario,conducir en exceso de velocidad,0,0
domingo,h06,choque lateral angular,sucre,conducir en estado de embriaguez,1,0
domingo,h18,atropello,sucre,imprudencia del peaton,1,0
lunes,h09,choque por alcance,carigan,conducir en estado de embriaguez,0,0
lunes,h15,atropello,sucre,imprudencia del peaton,1,0
lunes,h18,choque lateral angular,carigan,no ceder el derecho de via,2,0
miercoles,h19,atropello,el sagrario,imprudencia del peaton,1,0
viernes,h20,choque lateral angular,carigan,imprudencia del peaton,6,0
viernes,h03,estrellamiento,sucre,conducir en estado de embriaguez,1,1
miercoles,h13,roce negativo,el sagrario,no mantener la distancia reglamentaria,0,0
viernes,h06,estrellamiento,el valle,conducir en exceso de velocidad,0,0
sabado,h05,choque lateral perpendicular,el sagrario,no ceder el derecho de via,1,0
sabado,h02,estrellamiento,punzara,conducir en exceso de velocidad,1,0
domingo,h01,estrellamiento,el valle,conducir en exceso de velocidad,1,0
sabado,h15,estrellamiento,san sebastian,conducir en exceso de velocidad,0,0
miercoles,h06,atropello,sucre,imprudencia del conductor,1,0
viernes,h04,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0,0
viernes,h21,estrellamiento,sucre,conducir en exceso de velocidad,0,0
sabado,h11,choque frontal excentrico,carigan,invadir carril de circulacion,1,0
sabado,h17,estrellamiento,sucre,conducir en exceso de velocidad,0,0
sabado,h22,estrellamiento,sucre,conducir en exceso de velocidad,0,0
domingo,h03,estrellamiento,san sebastian,conducir en exceso de velocidad,0,0
lunes,h09,atropello,el sagrario,imprudencia del peaton,1,0
jueves,h12,choque lateral angular,san sebastian,no ceder el derecho de via,0,0
sabado,h07,estrellamiento,punzara,imprudencia del conductor,1,0
viernes,h14,choque lateral perpendicular,sucre,no ceder el derecho de via,1,0
viernes,h11,choque lateral angular,punzara,no respetar las senales de transito,0,0
viernes,h23,estrellamiento,el sagrario,conducir en exceso de velocidad,0,0
sabado,h19,estrellamiento,punzara,conducir en exceso de velocidad,0,0
domingo,h08,choque lateral angular,el sagrario,no ceder el derecho de via,0,0
domingo,h04,choque por alcance,el valle,no mantener la distancia reglamentaria,0,0
lunes,h12,estrellamiento,el sagrario,imprudencia del conductor,0,0
domingo,h16,choque lateral perpendicular,san sebastian,no ceder el derecho de via,0,0
martes,h07,choque lateral angular,el sagrario,no ceder el derecho de via,0,0
martes,h10,roce negativo,sucre,no mantener la distancia reglamentaria,0,0
martes,h18,choque lateral angular,el valle,imprudencia del conductor,2,0
martes,h23,choque por alcance,san sebastian,no mantener la distancia reglamentaria,3,0
martes,h13,choque lateral angular,el sagrario,no respetar las senales de transito,2,0
miercoles,h23,choque frontal excentrico,sucre,condiciones climaticas desfavorables,0,0
jueves,h06,choque lateral angular,san sebastian,imprudencia del conductor,0,0
viernes,h05,choque lateral perpendicular,el sagrario,imprudencia del conductor,1,0
sabado,h12,caida de pasajero,el sagrario,imprudencia del conductor,1,0
sabado,h23,estrellamiento,sucre,conducir en estado de embriaguez,1,0
domingo,h00,choque lateral perpendicular,sucre,no ceder el derecho de via,1,0
viernes,h11,estrellamiento,san sebastian,imprudencia del conductor,2,0
viernes,h13,choque lateral perpendicular,el sagrario,no ceder el derecho de via,1,0
viernes,h19,estrellamiento,el sagrario,imprudencia del conductor,0,0
sabado,h02,rozamiento,carigan,conducir en estado de embriaguez,0,0
sabado,h17,choque lateral angular,el valle,imprudencia del conductor,1,0
sabado,h23,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0,0
lunes,h03,perdida de carril,sucre,conducir en exceso de velocidad,2,0
martes,h16,choque lateral perpendicular,el sagrario,no respetar las senales de transito,0,0
