fecha,dia,hora,tipologia,direccion,zona,parroquia_urbana,causas,nro_heridos,nro_fallecidos
05-19,sabado,17:30,estrellamiento,machala y tulcan,urbana,sucre,razones desconocidas,0,0
05-19,sabado,22:05,choque lateral perpendicular,salvador bustamante celi y oriental de paso,urbana,el valle,razones desconocidas,0,0
05-20,domingo,00:58,roce positivo,oriental de paso,urbana,el valle,razones desconocidas,0,0
05-20,domingo,04:45,estrellamiento,manuel carrion pinzano y adolfo valarezo,urbana,sucre,razones desconocidas,0,0
05-20,domingo,03:25,estrellamiento,24 de mayo y leopoldo palacios,urbana,el sagrario,razones desconocidas,0,0
05-21,lunes,03:00,estrellamiento,rio santiago y rio uyacali,urbana,san sebastian,razones desconocidas,0,0
05-22,martes,07:20,choque lateral angular,universitaria y quito,urbana,el sagrario,razones desconocidas,0,0
05-22,martes,10:38,estrellamiento,daniel alvares y segundo cueva,urbana,el sagrario,razones desconocidas,0,0
05-24,jueves,13:58,choque lateral angular,bolivar y juan de salinas,urbana,el sagrario,razones desconocidas,0,0
05-26,sabado,00:40,choque lateral angular,18 de noviembre y lourdes,urbana,san sebastian,razones desconocidas,0,0
05-26,sabado,12:55,choque lateral angular,8 de diciembre y zoilo alvarado,urbana,carigan,razones desconocidas,2,0
05-26,sabado,17:12,choque lateral angular,bolivar y juan de salinas,urbana,el sagrario,razones desconocidas,0,0
05-26,sabado,17:12,estrellamiento,8 de diciembre y eduardo palacios,urbana,carigan,razones desconocidas,0,0
05-28,lunes,07:10,choque lateral angular,manuel agustin aguirre y brasil,urbana,punzara,razones desconocidas,0,0
05-29,martes,05:10,volcamiento,de los paltas y shiri,urbana,punzara,razones desconocidas,2,0
05-31,jueves,03:20,estrellamiento,macara y mercadillo,urbana,el sagrario,razones desconocidas,0,0
06-01,viernes,00:45,estrellamiento,mexico y brasil,urbana,punzara,razones desconocidas,0,0
06-08,viernes,13:55,atropello,manuel agustin aguirre y juan de salinas,urbana,el sagrario,razones desconocidas,1,0
06-08,viernes,22:45,estrellamiento,olmedo y catacocha,urbana,san sebastian,razones desconocidas,0,0
06-09,sabado,10:35,choque lateral perpendicular,cuenca y azogues,urbana,el valle,razones desconocidas,0,0
06-09,sabado,02:00,choque lateral perpendicular,pio jaramillo alvarado y chile,urbana,punzara,razones desconocidas,0,0
06-09,sabado,02:25,choque por alcance,occidental (sueno eterno),urbana,sucre,razones desconocidas,0,0
06-10,domingo,07:08,estrellamiento,galileo galilei entre cabo luis sarango y cpto. angel rivera,urbana,punzara,razones desconocidas,0,0
06-09,sabado,19:35,estrellamiento,manuel carrion pinzano y pedro falconi,urbana,sucre,razones desconocidas,0,0
06-12,martes,07:15,choque lateral angular,eduardo kingman y gonzanama,urbana,san sebastian,razones desconocidas,0,0
06-14,jueves,21:15,choque por alcance,universitaria y imbabura,urbana,el sagrario,razones desconocidas,0,0
06-15,viernes,22:30,choque lateral perpendicular,mercadillo y ramon pinto,urbana,el sagrario,razones desconocidas,5,0
06-15,viernes,11:30,atipico,manuel benjamin carrion y cornelio saavedra,urbana,punzara,razones desconocidas,0,0
06-15,viernes,20:15,estrellamiento,velazco ibarra y luis cordero,urbana,sucre,razones desconocidas,0,0
06-16,sabado,21:50,choque lateral perpendicular,18 de nociembre y celica,urbana,san sebastian,razones desconocidas,0,0
06-16,sabado,23:22,estrellamiento,eduardo kingman y jorupes,urbana,san sebastian,razones desconocidas,0,0
06-18,lunes,12:10,choque lateral perpendicular,guayaquil y portoviejo,urbana,el valle,razones desconocidas,0,0
06-18,lunes,16:53,choque lateral perpendicular,manuel carrion pinzano y adolfo valarezo,urbana,sucre,razones desconocidas,1,0
06-20,miercoles,12:43,estrellamiento,18 de noviembre y gobernacion de mainas,urbana,san sebastian,razones desconocidas,0,0
06-22,viernes,02:20,choque lateral angular,18 de noviembre y cariamanga,urbana,san sebastian,razones desconocidas,0,0
06-22,viernes,21:00,choque lateral perpendicular,nueva loja entre emiliano ortega y universitaria,urbana,el sagrario,razones desconocidas,0,0
06-22,viernes,04:13,perdida de carril,juan jose pena y jose antonio eguiguren,urbana,san sebastian,razones desconocidas,3,1
06-23,sabado,01:10,volcamiento lateral,via a chinguilanchi y salvador bustamante celi,urbana,el valle,razones desconocidas,1,0
06-24,domingo,05:45,choque lateral perpendicular,salvador bustamante celi y guayaquil,urbana,el valle,razones desconocidas,0,0
06-24,domingo,20:40,estrellamiento,universitaria entre celica y cariamanga,urbana,san sebastian,razones desconocidas,0,0
06-26,martes,06:40,estrellamiento,24 de mayo entre lourdes y leopoldo palacio,urbana,el sagrario,razones desconocidas,0,0
06-26,martes,08:50,roce negativo,quito y universitaria,urbana,el sagrario,razones desconocidas,0,0
06-26,martes,23:30,estrellamiento,machala y vinces,urbana,sucre,razones desconocidas,0,0
06-29,viernes,23:59,choque lateral perpendicular,18 de noviembre y quito,urbana,el sagrario,razones desconocidas,1,0
06-30,sabado,20:03,estrellamiento,ibarra y santo domingo,urbana,sucre,razones desconocidas,1,0
07-03,martes,23:50,estrellamiento,rocafuerte entre sucre y 18 de noviembre,urbana,el sagrario,razones desconocidas,0,0
07-05,jueves,22:45,choque lateral angular,orillas del zamora y guayaquil,urbana,el valle,razones desconocidas,1,0
07-07,sabado,04:42,estrellamiento,pio jaramillo alvarado y heroes del cenepa,urbana,punzara,razones desconocidas,0,0
07-07,sabado,12:45,estrellamiento,juan jose samaniego y lauro guerrero,urbana,el sagrario,razones desconocidas,0,0
07-07,sabado,04:45,choque lateral perpendicular,cuba y manuel agustin aguirre,urbana,punzara,razones desconocidas,6,0
07-10,martes,20:10,choque lateral perpendicular,18 de noviembre e imbabura,urbana,el sagrario,razones desconocidas,1,0
07-11,miercoles,14:25,choque lateral perpendicular,manuel agustin aguirre y teniente maximiliano rodriguez,urbana,el sagrario,razones desconocidas,1,0
07-12,jueves,20:50,choque frontal longitudinal,eugenio espejo entre ines jimenez y collas (barrio miraflores alto),urbana,sucre,razones desconocidas,3,0
07-13,viernes,15:08,atropello,eugenio espejo y adolfo valarezo,urbana,sucre,razones desconocidas,1,0
07-14,sabado,06:00,choque lateral perpendicular,benjamin carrion entre eloy alfaro y domingo sarmiento.,urbana,punzara,razones desconocidas,0,0
07-14,sabado,01:30,volcamiento lateral,salvador bustamante celi,urbana,el valle,razones desconocidas,2,0
07-15,domingo,00:00,choque lateral perpendicular,eduardo kingman y maximo agustin rodriguez.,urbana,san sebastian,razones desconocidas,0,0
07-17,martes,08:00,choque lateral perpendicular,mercadillo y ramon pinto,urbana,el sagrario,razones desconocidas,0,0
07-18,miercoles,16:10,choque lateral angular,pio jaramillo alvarado y condamine,urbana,punzara,razones desconocidas,0,0
07-19,jueves,10:30,choque lateral perpendicular,universitaria y azuay,urbana,el sagrario,razones desconocidas,0,0
07-20,viernes,17:10,choque por alcance,reinaldo espinoza y pio jaramillo alvarado alvarado,urbana,punzara,razones desconocidas,0,0
07-21,sabado,06:20,choque frontal excentrico,benjamin carrion y antonio neumane,urbana,punzara,razones desconocidas,0,0
07-21,sabado,14:07,estrellamiento,8 de diciembre y placido caamano,urbana,sucre,razones desconocidas,1,0
07-25,miercoles,10:05,estrellamiento,manuel espinoza y tnte. maximiliano rodriguez,urbana,sucre,razones desconocidas,1,0
07-25,miercoles,11:28,estrellamiento,marcabeli y arenillas,urbana,el valle,razones desconocidas,0,0
07-27,viernes,18:50,choque por alcance,manuel carrion pinzano y isidro ayora,urbana,sucre,razones desconocidas,0,0
07-28,sabado,04:46,atropello,arturo armijos ayala entre resistencia y necochea,urbana,carigan,razones desconocidas,1,0
07-28,sabado,00:40,choque lateral perpendicular,juan jose pena y colon,urbana,el sagrario,razones desconocidas,0,0
07-29,domingo,03:00,roce positivo,paraguay y cofanes,urbana,punzara,razones desconocidas,0,0
07-30,lunes,19:25,choque lateral angular,oriental de paso,urbana,el valle,razones desconocidas,1,0
07-31,martes,12:50,choque lateral perpendicular,nueva loja y guayaquil,urbana,el valle,razones desconocidas,0,0
