fecha,hora,latitud,longitud,tipologia,direccion,zona,parroquia_urbana,causas,gravedad,nro_heridos,nro_fallecidos,vehiculos_retenidos,senalizacion_existente,condicion_calzada,condicion_atmosferica
06-06,13:40,-3.7355229,-79.2638092,atropello,s/n,rural,n/n,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,mojada,cubierto
06-06,08:45,-4.0123462,-79.2038702,choque lateral perpendicular,s/n,urbana,punzara,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,cubierto
06-05,16:55,-4.029584,-79.180658,roce negativo,s/n,urbana,san sebastian,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
06-04,20:54,-3.979842,-79.2099719,arrollamiento,s/n,urbana,sucre,conducir en estado de embriaguez,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
06-04,03:10,-4.03118,-79.11447,estrellamiento,s/n,urbana,punzara,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,mojada,semicubierto
06-04,12:35,-4.2612368,-79.2245279,atropello,s/n,rural,n/n,imprudencia del conductor,grave,0.0,1.0,1.0,ninguna,seca,despejado
06-11,08:20,-4.0101103,-79.2046467,colision,s/n,urbana,punzara,conducir en estado de embriaguez,leve,0.0,0.0,3.0,senalizacion vertical,seca,semicubierto
06-11,10:40,-3.988152,-79.2132777,volcamiento,s/n,urbana,sucre,conducir en exceso de velocidad,grave,1.0,0.0,1.0,ninguna,seca,despejado
06-11,19:14,-4.00385,-79.2034957,choque lateral perpendicular,18 de noviembre y catacocha,urbana,san sebastian,no respetar las senales de transito,grave,3.0,0.0,2.0,senalizacion vertical,seca,semicubierto
06-11,19:19,-4.0017477,-79.2111156,choque lateral perpendicular,mercadillo y shyris,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,senalizacion vertical,seca,cubierto
06-12,13:18,-3.985115,-79.203967,choque lateral angular,machala y ibarra,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,2.0,senalizacion vertical,seca,despejado
06-13,00:50,-4.003274,-79.211763,estrellamiento,s/n,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,cubierto
06-08,14:56,-3.987224,-79.203467,atropello,s/n,urbana,sucre,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
06-08,19:54,-3.9719984,-79.2158735,estrellamiento,s/n,urbana,carigan,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
06-14,10:10,-3.972189,-79.2213,perdida de pista,panamericana norte,urbana,carigan,conducir en exceso de velocidad,grave,1.0,0.0,1.0,ninguna,mojada,despejado
06-14,23:14,-3.9531802,-79.2207857,estrellamiento,8 de diciembre,urbana,carigan,conducir en exceso de velocidad,leve,0.0,0.0,1.0,senalizacion vertical,seca,semicubierto
06-15,00:05,-3.9591442,-79.2168416,estrellamiento,8 de diciembre y manuela saenz,urbana,carigan,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,semicubierto
06-15,14:00,-3.9934697,-79.1781077,choque lateral angular,via loja zamora,urbana,el valle,imprudencia del conductor,grave,2.0,0.0,2.0,ninguna,seca,semicubierto
06-16,17:10,-3.9729048,-79.2210518,estrellamiento,pablo palacios,urbana,carigan,conducir en exceso de velocidad,grave,1.0,0.0,1.0,ninguna,seca,despejado
